"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Alphari","Misfits Gaming","Top",11,"45%","45%",20,26,41,2.3,"55.0%","18.0%","19.4%","9%",-29,-83,-3.5,7,"20.1%",335,"21.6%",205,"19.1%",0.56,0.09
"Amazing","FC Schalke 04 Esports","Jungle",13,"54%","38%",18,37,88,2.9,"67.1%","11.4%","24.2%","54%",139,256,0.9,5,"12.4%",217,"12.0%",190,"16.6%",0.73,0.42
"Attila","Team Vitality","ADC",8,"50%","25%",31,17,35,3.9,"65.3%","30.7%","15.9%","0%",36,-79,3.9,9.8,"32.3%",580,"28.6%",309,"27.6%",0.35,0.46
"Broxah","Fnatic","Jungle",8,"75%","50%",16,9,60,8.4,"76.8%","16.2%","10.8%","13%",-151,-282,-3.9,4.6,"11.1%",175,"9.2%",188,"16.9%",0.53,0.3
"Bwipo","Fnatic","Top",3,"33%","67%",8,12,13,1.8,"70.0%","26.7%","27.9%","33%",23,-282,-2,8.3,"26.4%",488,"28.8%",267,"25.0%",0.45,0.08
"Cabochard","Team Vitality","Top",8,"50%","63%",22,16,44,4.1,"65.3%","21.8%","15.0%","13%",43,184,0.6,7.4,"20.1%",404,"20.1%",226,"20.4%",0.53,0.13
"Caps","Fnatic","Middle",8,"75%","63%",32,20,44,3.8,"76.8%","32.3%","24.1%","13%",-73,-168,-2.3,9,"27.4%",610,"31.6%",288,"25.9%",0.44,0.27
"Chres","Misfits Gaming","Middle",11,"45%","36%",12,25,49,2.4,"55.0%","10.8%","18.7%","9%",-200,19,-6.7,8,"25.1%",342,"21.8%",222,"21.1%",0.4,0.11
"Hans sama","Misfits Gaming","ADC",11,"45%","36%",51,24,27,3.3,"70.3%","45.9%","17.9%","36%",423,172,4.1,9.6,"31.8%",536,"30.8%",314,"29.5%",0.51,0.31
"Hjarnan","G2 Esports","ADC",3,"0%","67%",10,7,11,3,"72.4%","34.5%","18.4%","33%",-582,-216,-8.3,9.9,"32.5%",596,"30.1%",283,"28.4%",0.22,0.35
"Hylissang","Fnatic","Support",8,"75%","63%",3,21,57,2.9,"60.6%","3.0%","25.3%","13%",-147,-178,-1.3,1.4,"4.1%",149,"7.7%",102,"9.2%",1.18,0.22
"Jactroll","Team Vitality","Support",8,"50%","75%",3,24,62,2.7,"64.4%","3.0%","22.4%","13%",-37,7,1.4,1.8,"6.5%",156,"8.2%",117,"10.4%",1.5,0.21
"Jankos","G2 Esports","Jungle",3,"0%","67%",6,8,16,2.8,"75.9%","20.7%","21.1%","33%",-171,123,3.7,4.6,"11.5%",277,"13.5%",169,"17.1%",0.78,0.46
"Jiizuke","Team Vitality","Middle",8,"50%","63%",28,25,56,3.4,"83.2%","27.7%","23.4%","25%",-48,-169,-0.6,8.3,"25.9%",506,"26.9%",262,"23.4%",0.32,0.18
"kaSing","Splyce","Support",5,"40%","40%",3,9,38,4.6,"70.7%","5.2%","20.0%","40%",-126,-118,-6.4,1.2,"4.0%",182,"9.4%",110,"10.0%",1.58,0.37
"Kikis","Team Vitality","Jungle",8,"50%","38%",17,25,61,3.1,"77.2%","16.8%","23.4%","38%",-80,-395,-2.9,5.1,"15.2%",324,"16.1%",201,"18.2%",0.5,0.39
"Kobbe","Splyce","ADC",5,"40%","80%",19,7,22,5.9,"70.7%","32.8%","15.6%","40%",77,114,4.6,10.5,"32.3%",533,"28.8%",317,"28.9%",0.39,0.52
"Maxlore","Misfits Gaming","Jungle",11,"45%","73%",25,20,51,3.8,"68.5%","22.5%","14.9%","18%",99,172,2.5,5.7,"17.9%",273,"16.1%",218,"20.8%",0.43,0.4
"Mikyx","Misfits Gaming","Support",11,"45%","36%",3,39,77,2.1,"72.1%","2.7%","29.1%","36%",98,75,-0.3,1.5,"5.1%",156,"9.7%",104,"9.5%",1.66,0.38
"Nisqy","Splyce","Middle",5,"40%","80%",21,8,18,4.9,"67.2%","36.2%","17.8%","40%",445,159,4.6,9.7,"28.4%",484,"26.7%",279,"25.2%",0.6,0.22
"nukeduck","FC Schalke 04 Esports","Middle",13,"54%","46%",49,27,35,3.1,"53.2%","31.0%","17.6%","8%",62,162,4.2,9.2,"26.6%",415,"22.4%",279,"24.4%",0.44,0.14
"Odoamne","Splyce","Top",5,"40%","0%",6,17,28,2,"58.6%","10.3%","37.8%","0%",-246,14,-10,8.3,"24.2%",425,"23.3%",230,"20.9%",0.48,0.26
"Perkz","G2 Esports","Middle",3,"0%","0%",7,7,10,2.4,"58.6%","24.1%","18.4%","0%",47,-140,6.3,9.9,"32.6%",509,"27.1%",251,"25.2%",0.41,0.18
"Rekkles","Fnatic","ADC",8,"75%","50%",33,12,39,6,"72.7%","33.3%","14.5%","13%",-526,13,-4.4,10.6,"36.6%",542,"27.9%",313,"28.1%",0.29,0.37
"sOAZ","Fnatic","Top",5,"100%","40%",7,9,32,4.3,"56.5%","10.1%","22.5%","0%",-30,129,2.2,6.6,"17.4%",404,"20.3%",192,"16.8%",0.48,0.15
"Upset","FC Schalke 04 Esports","ADC",13,"54%","62%",56,24,50,4.4,"67.1%","35.4%","15.7%","31%",48,-99,-3,10.6,"33.7%",696,"37.6%",332,"28.8%",0.48,0.36
"Vander","FC Schalke 04 Esports","Support",13,"54%","31%",11,27,96,4,"67.7%","7.0%","17.6%","31%",75,133,3.7,2,"6.6%",119,"6.7%",121,"10.3%",1.61,0.26
"Vizicsacsi","FC Schalke 04 Esports","Top",13,"54%","69%",24,38,62,2.3,"54.4%","15.2%","24.8%","38%",89,-7,4.9,7.8,"20.7%",370,"21.3%",229,"19.8%",0.49,0.18
"Wadid","G2 Esports","Support",3,"0%","100%",3,8,21,3,"82.8%","10.3%","21.1%","33%",17,-197,-4.7,1.2,"3.7%",163,"8.2%",92,"9.3%",1.69,0.26
"Wunder","G2 Esports","Top",3,"0%","33%",3,8,16,2.4,"65.5%","10.3%","21.1%","33%",43,-113,5,7.2,"19.6%",362,"21.2%",196,"20.0%",0.43,0.05
"Xerxe","Splyce","Jungle",5,"40%","40%",9,4,31,10,"69.0%","15.5%","8.9%","40%",-106,-34,0.8,4.4,"11.1%",223,"11.7%",166,"15.0%",0.94,0.45
