"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Jankos","G2 Esports","Jungle",10,"60%","70%",36,28,85,4.3,"66.1%","19.7%","20.3%","30%",-17,-68,-1.2,4.5,"13.2%",300,"14.4%",202,"16.7%",0.81,0.43
"Jiizuke","Team Vitality","Middle",4,"25%","100%",13,19,23,1.9,"69.2%","25.0%","18.3%","0%",-152,-232,0.3,8.3,"27.3%",622,"31.9%",286,"26.2%",0.45,0.09
"Kobbe","Splyce","ADC",3,"0%","33%",6,9,7,1.4,"76.5%","35.3%","18.0%","0%",12,100,1.7,9.8,"32.6%",389,"22.4%",259,"27.4%",0.22,0.28
"Larssen","Rogue","Middle",7,"57%","71%",30,9,31,6.8,"64.2%","31.6%","11.1%","29%",347,148,4.3,9.2,"28.2%",523,"29.0%",300,"25.9%",0.4,0.14
"Mikyx","G2 Esports","Support",10,"60%","40%",8,32,109,3.7,"63.9%","4.4%","23.2%","20%",-152,-158,-4.6,1.1,"4.1%",159,"7.7%",132,"10.9%",1.53,0.5
"Mowgli","Team Vitality","Jungle",4,"25%","75%",9,28,23,1.1,"61.5%","17.3%","26.9%","0%",149,479,6.8,3.9,"10.2%",210,"11.2%",140,"13.5%",0.64,0.45
"Nemesis","Fnatic","Middle",13,"54%","38%",44,32,52,3,"51.6%","23.7%","15.5%","23%",35,-133,-2.6,8.3,"25.1%",461,"22.5%",274,"23.1%",0.51,0.2
"Odoamne","FC Schalke 04 Esports","Top",11,"55%","73%",37,34,64,3,"53.2%","19.5%","23.4%","45%",-79,-244,-6.2,7.1,"21.6%",435,"23.4%",235,"20.3%",0.44,0.15
"Perkz","G2 Esports","ADC",10,"60%","50%",54,23,58,4.9,"61.2%","29.5%","16.7%","20%",-94,68,-3.8,9.9,"34.9%",599,"29.5%",342,"27.8%",0.33,0.27
"Rekkles","Fnatic","ADC",13,"54%","54%",50,30,62,3.7,"60.2%","26.9%","14.6%","31%",125,-33,3.5,10.2,"35.5%",567,"28.2%",337,"28.0%",0.47,0.53
"Tore","Splyce","Support",3,"0%","33%",2,13,10,0.9,"70.6%","11.8%","26.0%","0%",-55,-124,1.7,1.7,"6.1%",135,"7.8%",84,"8.9%",1.18,0.29
"Trick","FC Schalke 04 Esports","Jungle",11,"55%","36%",32,36,89,3.4,"63.7%","16.8%","24.8%","45%",-255,-298,-3.9,4.3,"11.5%",282,"14.6%",181,"16.0%",0.34,0.28
"Upset","FC Schalke 04 Esports","ADC",11,"55%","27%",60,19,62,6.4,"64.2%","31.6%","13.1%","18%",95,119,0.8,10,"35.5%",562,"27.6%",341,"29.3%",0.38,0.25
"Vander","Rogue","Support",7,"57%","57%",2,22,65,3,"70.5%","2.1%","27.2%","14%",-14,17,-2.4,1.2,"4.4%",164,"8.3%",115,"9.9%",1.49,0.29
"Vizicsacsi","Splyce","Top",3,"0%","33%",0,10,9,0.9,"52.9%","0.0%","20.0%","33%",292,-83,12.3,7.7,"21.2%",427,"26.8%",204,"21.7%",0.55,0.17
"Woolite","Rogue","ADC",7,"57%","86%",21,16,43,4,"67.4%","22.1%","19.8%","14%",-114,-167,-2.1,8.9,"29.1%",437,"24.2%",293,"25.3%",0.43,0.3
"Wunder","G2 Esports","Top",10,"60%","40%",39,23,47,3.7,"47.0%","21.3%","16.7%","10%",243,-49,10.3,8.3,"26.9%",466,"22.5%",281,"23.0%",0.41,0.13
"Xerxe","Splyce","Jungle",3,"0%","0%",7,8,5,1.5,"70.6%","41.2%","16.0%","33%",105,362,2.7,4.8,"12.2%",323,"19.5%",166,"17.7%",0.51,0.3
