"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",11,"55%","36%",50,31,63,3.6,"59.5%","26.3%","21.4%","36%",-30,169,-1.4,8.6,"27.5%",532,"27.2%",289,"25.1%",0.46,0.26
"Attila","Team Vitality","ADC",4,"25%","50%",9,13,20,2.2,"55.8%","17.3%","12.5%","25%",-241,-174,-1.5,9,"32.7%",370,"18.3%",268,"25.4%",0.45,0.35
"Broxah","Fnatic","Jungle",13,"54%","38%",37,42,74,2.6,"59.7%","19.9%","20.4%","38%",177,79,0.5,4.2,"11.3%",315,"15.7%",186,"15.9%",0.64,0.28
"Bwipo","Fnatic","Top",13,"54%","62%",37,53,61,1.8,"52.7%","19.9%","25.7%","31%",-31,151,-5.5,7.4,"23.0%",491,"23.8%",255,"20.7%",0.51,0.17
"Cabochard","Team Vitality","Top",4,"25%","25%",14,16,19,2.1,"63.5%","26.9%","15.4%","0%",342,444,19,7.9,"26.5%",496,"25.8%",267,"24.9%",0.39,0.15
"Caps","G2 Esports","Middle",10,"60%","50%",46,32,50,3,"52.5%","25.1%","23.2%","20%",-39,126,3.5,7.7,"20.9%",520,"25.8%",263,"21.7%",0.44,0.12
"Finn","Rogue","Top",7,"57%","29%",23,19,36,3.1,"62.1%","24.2%","23.5%","14%",-486,-44,-10.9,7.4,"24.8%",496,"26.3%",254,"21.9%",0.51,0.13
"Humanoid","Splyce","Middle",3,"0%","33%",2,10,1,0.3,"17.6%","11.8%","20.0%","0%",-517,-501,-5.7,9.3,"28.0%",393,"23.4%",229,"24.3%",0.39,0.11
"Hylissang","Fnatic","Support",13,"54%","54%",18,49,101,2.4,"64.0%","9.7%","23.8%","38%",130,123,4.6,1.6,"5.2%",208,"9.8%",154,"12.3%",1.25,0.3
"IgNar","FC Schalke 04 Esports","Support",11,"55%","64%",11,25,113,5,"65.3%","5.8%","17.2%","18%",-108,-41,-1.2,1.1,"3.9%",139,"7.1%",110,"9.4%",1.8,0.44
"Inspired","Rogue","Jungle",7,"57%","71%",19,15,40,3.9,"62.1%","20.0%","18.5%","14%",-35,-10,1.9,4.9,"13.5%",221,"12.2%",196,"17.0%",0.51,0.38
"Jactroll","Team Vitality","Support",4,"25%","25%",7,28,22,1,"55.8%","13.5%","26.9%","25%",320,172,2.8,0.9,"3.3%",241,"12.8%",112,"10.1%",1.49,0.17
