"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Shook","Team Vitality","Jungle",18,"72%",,27,35,138,4.7,"74.7%","12.2%","23.2%","44%",53,86,0.2,3.9,"12.5%",259,"12.6%",215,"17.9%",0.86,0.46
"sOAZ","Origen","Top",18,"61%",,38,48,77,2.4,"54.2%","17.9%","23.9%","17%",-210,-79,-2.7,7.7,"24.2%",378,"18.3%",248,"20.8%",0.49,0.15
"Sonstar","Giants Gaming","ADC",4,"25%",,8,5,6,2.8,"73.7%","42.1%","10.4%","25%",-93,87,-6.5,8.6,"28.8%",286,"21.3%",242,"25.1%",0.49,0.22
"Spirit","Fnatic","Jungle",18,"50%",,38,39,103,3.6,"70.5%","19.0%","19.5%","17%",-66,-64,1.6,4.5,"14.7%",304,"17.8%",214,"19.1%",0.94,0.56
"Steeelback","Unicorns Of Love","ADC",18,"56%",,88,26,89,6.8,"71.7%","35.6%","12.8%","28%",120,160,1.5,9.3,"31.5%",634,"31.6%",305,"26.0%",0.44,0.22
"Steve","Elements","Top",18,"33%",,38,45,64,2.3,"63.8%","23.8%","20.4%","28%",-14,16,-1.1,7.9,"29.2%",351,"19.6%",243,"23.1%",0.51,0.17
"Tabzz","Team ROCCAT","ADC",12,"25%",,31,22,45,3.5,"70.4%","28.7%","14.3%","42%",-216,-309,-9.3,8.5,"27.5%",433,"26.7%",262,"24.0%",0.39,0.31
"Trick","G2 Esports","Jungle",18,"83%",,60,34,151,6.2,"75.9%","21.6%","19.4%","17%",193,202,3.4,4.4,"14.9%",362,"17.8%",253,"20.2%",1.02,0.31
"Vander","H2k-Gaming","Support",18,"78%",,15,27,177,7.1,"77.7%","6.1%","18.2%","33%",72,-141,0.4,1,"3.8%",112,"5.5%",144,"12.0%",1.3,0.25
"Vizicsacsi","Unicorns Of Love","Top",18,"56%",,51,48,114,3.4,"66.8%","20.6%","23.6%","33%",122,-170,2.6,7,"24.9%",430,"21.9%",242,"21.0%",0.58,0.22
"Wisdom","Giants Gaming","Jungle",4,"25%",,0,10,13,1.3,"68.4%","0.0%","20.8%","0%",-47,-127,-2,3.7,"11.6%",197,"15.3%",167,"18.2%",1.02,0.35
"Wunder","Splyce","Top",18,"28%",,35,51,47,1.6,"61.7%","26.3%","25.8%","11%",109,-27,7.9,8.8,"31.3%",305,"19.6%",259,"25.0%",0.52,0.14
"xPeke","Origen","Middle",3,"100%",,13,8,12,3.1,"67.6%","35.1%","22.9%","33%",89,105,5.3,9.2,"26.6%",729,"32.7%",305,"23.6%",0.55,0.26
"Zven","Origen","ADC",18,"61%",,70,37,72,3.8,"67.0%","33.0%","18.4%","17%",227,218,8.7,9.9,"32.7%",658,"32.3%",312,"26.7%",0.41,0.28
