"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Ambition","Samsung Galaxy","Jungle",5,"40%",,19,16,30,3.1,"71.0%","27.5%","19.8%","40%",-55,-88,-0.8,5,"15.3%",470,"19.0%",,241,"21.1%",,0.7,0.42
"Arrow","KT Rolster","ADC",13,"62%",,62,14,84,10.4,"73.0%","31.0%","10.5%","15%",-25,6,-4.8,8.9,"27.3%",746,"30.5%",,291,"23.6%",,0.45,0.21
"Bang","SK Telecom T1","ADC",5,"40%",,13,16,20,2.1,"84.6%","33.3%","22.5%","20%",40,122,6.2,10.3,"34.1%",710,"30.9%",,291,"26.6%",,0.47,0.25
"Blank","SK Telecom T1","Jungle",5,"40%",,7,16,23,1.9,"76.9%","17.9%","22.5%","40%",-282,-41,5,4.4,"12.4%",365,"16.3%",,203,"18.4%",,0.87,0.61
"Crown","Samsung Galaxy","Middle",5,"40%",,20,18,23,2.4,"62.3%","29.0%","22.2%","20%",112,-21,0.8,9.1,"27.5%",682,"26.1%",,266,"23.3%",,0.53,0.12
"CuVee","Samsung Galaxy","Top",4,"50%",,9,10,33,4.2,"68.9%","14.8%","18.2%","0%",70,273,2.5,7.8,"22.8%",675,"24.2%",,252,"21.2%",,0.57,0.18
"Duke","SK Telecom T1","Top",5,"40%",,13,14,18,2.2,"79.5%","33.3%","19.7%","20%",-88,98,-7,8.4,"25.7%",487,"22.0%",,250,"23.4%",,0.42,0.07
"Faker","SK Telecom T1","Middle",5,"40%",,5,13,25,2.3,"76.9%","12.8%","18.3%","20%",259,195,11.6,8.4,"23.7%",576,"24.6%",,225,"20.9%",,0.47,0.22
"Fly","KT Rolster","Middle",13,"62%",,45,27,92,5.1,"68.5%","22.5%","20.3%","23%",-16,-76,-4.1,8.2,"24.4%",572,"24.5%",,257,"21.1%",,0.4,0.18
"GorillA","ROX Tigers","Support",5,"60%",,1,15,48,3.3,"71.0%","1.4%","21.7%","20%",-43,39,5.4,1,"2.9%",112,"4.8%",,133,"11.1%",,1.51,0.38
"Hachani","KT Rolster","Support",13,"62%",,11,38,127,3.6,"69.0%","5.5%","28.6%","15%",67,39,-2.5,1.3,"4.3%",155,"6.7%",,139,"11.1%",,1.3,0.46
"Helper","Samsung Galaxy","Top",1,"0%",,1,5,5,1.2,"75.0%","12.5%","19.2%","100%",-301,-371,-22,6.1,"21.4%",562,"31.2%",,192,"20.1%",,0.56,0.09
"ikssu","Kwangdong Freecs","Top",2,"0%",,4,9,9,1.4,"65.0%","20.0%","20.0%","0%",-50,-75,-1,7.3,"26.1%",504,"22.1%",,217,"22.3%",,0.39,0.08
"Kuro","ROX Tigers","Middle",5,"60%",,18,13,37,4.2,"79.7%","26.1%","18.8%","20%",-221,-11,-1.8,8.2,"25.3%",632,"25.8%",,260,"21.8%",,0.63,0.15
"Lira","Kwangdong Freecs","Jungle",2,"0%",,6,10,5,1.1,"55.0%","30.0%","22.2%","50%",436,328,1,5,"19.5%",361,"15.3%",,223,"22.8%",,0.64,0.44
"Mickey","Kwangdong Freecs","Middle",2,"0%",,6,10,7,1.3,"65.0%","30.0%","22.2%","0%",-271,89,0,7.4,"24.8%",702,"30.8%",,215,"22.0%",,0.44,0.17
"Peanut","ROX Tigers","Jungle",5,"60%",,14,13,35,3.8,"71.0%","20.3%","18.8%","40%",-37,-112,0.8,4.7,"16.5%",318,"13.6%",,235,"19.9%",,0.67,0.51
"PraY","ROX Tigers","ADC",5,"60%",,20,12,34,4.5,"78.3%","29.0%","17.4%","20%",-89,-226,0.8,8.6,"27.1%",678,"29.3%",,276,"23.4%",,0.44,0.21
"Ruler","Samsung Galaxy","ADC",4,"50%",,13,12,26,3.3,"63.9%","21.3%","21.8%","25%",140,-184,6.8,9.4,"29.2%",613,"23.2%",,273,"23.0%",,0.31,0.33
"Sangyoon","Kwangdong Freecs","ADC",2,"0%",,4,8,12,2,"80.0%","20.0%","17.8%","0%",-71,354,-2,7.3,"25.7%",577,"25.3%",,222,"22.7%",,0.32,0.13
"Score","KT Rolster","Jungle",13,"62%",,40,24,108,6.2,"74.0%","20.0%","18.0%","38%",77,42,-2.1,4.7,"14.5%",405,"17.1%",,248,"20.2%",,0.68,0.51
"Smeb","ROX Tigers","Top",5,"60%",,16,16,29,2.8,"65.2%","23.2%","23.2%","40%",34,-24,5.2,8.3,"28.3%",636,"26.5%",,284,"23.8%",,0.47,0.06
"SnowFlower","Kwangdong Freecs","Support",2,"0%",,0,8,12,1.5,"60.0%","0.0%","17.8%","50%",28,-192,-0.5,1.1,"4.0%",147,"6.5%",,100,"10.2%",,1.14,0.23
"Ssumday","KT Rolster","Top",13,"62%",,42,30,85,4.2,"63.5%","21.0%","22.6%","38%",30,-72,1.8,8.8,"29.5%",503,"21.2%",,289,"23.9%",,0.53,0.17
"Stitch","Samsung Galaxy","ADC",1,"0%",,1,6,2,0.5,"37.5%","12.5%","23.1%","0%",155,469,5,9.7,"34.7%",459,"25.4%",,243,"25.5%",,0.18,0.12
"Wolf","SK Telecom T1","Support",5,"40%",,1,12,30,2.6,"79.5%","2.6%","16.9%","20%",-113,-241,0.2,1.4,"4.2%",134,"6.2%",,118,"10.7%",,1.25,0.47
"Wraith","Samsung Galaxy","Support",5,"40%",,6,14,40,3.3,"66.7%","8.7%","17.3%","20%",-29,178,1.2,1.3,"4.3%",141,"5.6%",,128,"11.2%",,1.3,0.39
