"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Midnexus","Midas FIO","Middle",6,"0%",,11,31,19,1,"76.9%","28.2%","20.1%",,,,,,,,,,183,"26.5%",,,
"Mystic","Jin Air Green Wings Falcons","ADC",6,"0%",,10,27,18,1,"58.3%","20.8%","21.8%",,,,,,,,,,201,"27.3%",,,
"Nagne","NaJin Black Sword","Middle",6,"50%",,26,13,23,3.8,"64.5%","34.2%","15.1%",,,,,,,,,,274,"29.4%",,,
"Ninja","Prime Optimus","Middle",6,"33%",,13,16,28,2.6,"70.7%","22.4%","18.6%",,,,,,,,,,227,"26.8%",,,
"Ohq","Xenics Storm","ADC",6,"0%",,18,11,20,3.5,"77.6%","36.7%","10.5%",,,,,,,,,,215,"28.0%",,,
"OldB","Prime Optimus","Jungle",6,"33%",,12,15,26,2.5,"65.5%","20.7%","17.4%",,,,,,,,,,142,"15.9%",,,
"Olleh","Midas FIO","Support",6,"0%",,6,33,24,0.9,"76.9%","15.4%","21.4%",,,,,,,,,,84,"12.2%",,,
"Paragon","Incredible Miracle 2","ADC",4,"50%",,29,3,17,15.3,"66.7%","42.0%","7.5%",,,,,,,,,,287,"26.7%",,,
"PawN","Samsung White","Middle",19,"68%",,96,43,143,5.6,"74.7%","30.0%","17.6%",,,,,,,,,,291,"24.9%",,,
"Piglet","SK Telecom T1 K","ADC",11,"45%",,44,24,63,4.5,"69.0%","28.4%","14.6%",,,,,,,,,,263,"25.7%",,,
"PoohManDu","SK Telecom T1 K","Support",7,"29%",,6,28,53,2.1,"72.8%","7.4%","22.8%",,,,,,,,,,106,"11.3%",,,
"PraY","NaJin Black Sword","ADC",6,"50%",,22,21,22,2.1,"57.9%","28.9%","24.4%",,,,,,,,,,227,"24.1%",,,
