"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Mima","MVP Ozone","Middle",15,"47%",,49,51,100,2.9,"70.0%","23.0%","23.8%",,,,,,,,,,,,,,
"ming9","MVP Ozone","Support",9,"44%",,13,25,107,4.8,"75.9%","8.2%","17.9%",,,,,,,,,,,,,,
"MOKUZA","NaJin White Shield","Jungle",12,"42%",,15,29,77,3.2,"67.2%","10.9%","19.5%",,,,,,,,,,,,,,
"NoFe","MVP Blue","Jungle",12,"17%",,14,40,94,2.7,"65.1%","8.4%","16.9%",,,,,,,,,,,,,,
"Nolja","Xenics Storm","Jungle",2,"50%",,4,13,13,1.3,"85.0%","20.0%","35.1%",,,,,,,,,,,,,,
"Nolja","Team OP","Jungle",10,"20%",,19,29,60,2.7,"73.1%","17.6%","17.5%",,,,,,,,,,,,,,
"Paragon","Incredible Miracle","ADC",17,"53%",,67,42,124,4.5,"69.0%","24.2%","18.7%",,,,,,,,,,,,,,
"PoohManDu","GSG","Support",12,"17%",,17,48,96,2.4,"66.9%","10.1%","20.6%",,,,,,,,,,,,,,
"PraY","NaJin Black Sword","ADC",35,"80%",,212,58,248,7.9,"76.8%","35.4%","15.6%",,,,,,,,,,,,,,
"Ragan","KT Rolster Bullets","Top",36,"61%",,105,95,240,3.6,"66.3%","20.2%","22.4%",,,,,,,,,,,,,,
"RapidStar","Azubu Frost","Middle",34,"53%",,158,115,255,3.6,"73.5%","28.1%","21.7%",,,,,,,,,,,,,,
"Ring Troll","Incredible Miracle","Jungle",17,"53%",,34,39,143,4.5,"63.9%","12.3%","17.3%",,,,,,,,,,,,,,
"Ryu","KT Rolster Bullets","Middle",36,"61%",,170,88,209,4.3,"72.9%","32.7%","20.8%",,,,,,,,,,,,,,
"sBs","Team OP","ADC",10,"20%",,33,30,53,2.9,"79.6%","30.6%","18.1%",,,,,,,,,,,,,,
"sBs","Xenics Storm","ADC",2,"50%",,5,5,9,2.8,"70.0%","25.0%","13.5%",,,,,,,,,,,,,,
"Score","KT Rolster Bullets","ADC",36,"61%",,158,49,234,8,"75.4%","30.4%","11.6%",,,,,,,,,,,,,,
"Shy","Azubu Frost","Top",34,"53%",,129,103,241,3.6,"65.8%","23.0%","19.5%",,,,,,,,,,,,,,
"SmallBrain","MVP Ozone","Support",6,"50%",,3,20,32,1.8,"63.6%","5.5%","27.0%",,,,,,,,,,,,,,
"Space","CJ Entus","ADC",17,"35%",,65,57,101,2.9,"62.6%","24.5%","16.5%",,,,,,,,,,,,,,
"Ssong","NaJin Black Sword","Middle",35,"80%",,177,70,261,6.3,"73.1%","29.5%","18.8%",,,,,,,,,,,,,,
"SunChip","MVP Blue","Middle",12,"17%",,53,59,62,1.9,"69.3%","31.9%","24.9%",,,,,,,,,,,,,,
"viNylCat","NaJin White Shield","Support",12,"42%",,4,32,93,3,"70.8%","2.9%","21.5%",,,,,,,,,,,,,,
"Vitamin","KT Rolster Arrows","Top",16,"50%",,50,58,109,2.7,"71.0%","22.3%","21.1%",,,,,,,,,,,,,,
"Wall","KT Rolster Arrows","Support",16,"50%",,16,53,137,2.9,"68.3%","7.1%","19.3%",,,,,,,,,,,,,,
"Watch","NaJin Black Sword","Jungle",35,"80%",,49,74,349,5.4,"66.4%","8.2%","19.9%",,,,,,,,,,,,,,
"Woong","Azubu Frost","ADC",34,"53%",,161,101,239,4,"71.2%","28.6%","19.1%",,,,,,,,,,,,,,
"Zero","KT Rolster Arrows","Middle",16,"50%",,71,48,94,3.4,"73.7%","31.7%","17.5%",,,,,,,,,,,,,,
