"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Acorn","MVP Blue","Top",6,"33%",,29,24,26,2.3,"56.7%","29.9%","20.0%",,,,,,,,,,206,"24.1%",,,
"Ambition","CJ Entus Blaze","Middle",12,"58%",,41,39,80,3.1,"68.4%","23.2%","22.4%",,,,,,,,,,246,"26.1%",,,
"Apple","Maximum impact Gaming Blitz","Top",6,"33%",,11,26,37,1.8,"62.3%","14.3%","20.3%",,,,,,,,,,186,"23.2%",,,
"Arrow","Xenics Storm","ADC",6,"33%",,22,16,34,3.5,"62.9%","24.7%","17.8%",,,,,,,,,,203,"24.8%",,,
"Bang","Xenics Blast","ADC",6,"17%",,34,22,36,3.2,"69.3%","33.7%","15.6%",,,,,,,,,,240,"30.6%",,,
"BBuing","Incredible Miracle 2","Support",6,"17%",,1,30,39,1.3,"60.6%","1.5%","24.6%",,,,,,,,,,58,"7.0%",,,
"Bengi","SK Telecom T1","Jungle",18,"83%",,26,39,224,6.4,"73.3%","7.6%","18.4%",,,,,,,,,,141,"13.1%",,,
"Black","Incredible Miracle 1","Support",6,"17%",,3,25,25,1.1,"57.1%","6.1%","24.5%",,,,,,,,,,55,"7.1%",,,
"Cain","NaJin Black Sword","Support",6,"50%",,10,15,72,5.5,"86.3%","10.5%","16.0%",,,,,,,,,,116,"10.3%",,,
"Cammly","Maximum impact Gaming Blitz","Support",6,"33%",,6,24,52,2.4,"75.3%","7.8%","18.8%",,,,,,,,,,105,"11.4%",,,
"Chei","Xenics Blast","Support",6,"17%",,8,32,57,2,"64.4%","7.9%","22.7%",,,,,,,,,,81,"9.8%",,,
"CloudTemplar","CJ Entus Frost","Jungle",17,"59%",,26,51,148,3.4,"63.5%","9.5%","23.4%",,,,,,,,,,136,"14.1%",,,
"Coco","Xenics Storm","Middle",6,"33%",,32,14,29,4.4,"68.5%","36.0%","15.6%",,,,,,,,,,251,"30.9%",,,
"Comet","Xenics Storm","Support",6,"33%",,6,21,45,2.4,"57.3%","6.7%","23.3%",,,,,,,,,,87,"10.6%",,,
"Cpt Jack","CJ Entus Blaze","ADC",9,"56%",,40,23,38,3.4,"67.8%","34.8%","18.5%",,,,,,,,,,261,"26.4%",,,
"dade","MVP Ozone","Middle",18,"67%",,101,54,120,4.1,"72.0%","32.9%","21.9%",,,,,,,,,,286,"29.5%",,,
"DanDy","MVP Ozone","Jungle",18,"67%",,47,60,160,3.5,"67.4%","15.3%","24.3%",,,,,,,,,,138,"13.7%",,,
"DayDream","Xenics Storm","Jungle",6,"33%",,8,19,56,3.4,"71.9%","9.0%","21.1%",,,,,,,,,,93,"11.1%",,,
"Deft","MVP Blue","ADC",6,"33%",,31,18,37,3.8,"70.1%","32.0%","15.0%",,,,,,,,,,222,"25.7%",,,
"Easyhoon","MVP Blue","Middle",6,"33%",,29,22,34,2.9,"64.9%","29.9%","18.3%",,,,,,,,,,231,"28.6%",,,
"Expession","NaJin Black Sword","Top",6,"50%",,26,22,30,2.5,"58.9%","27.4%","23.4%",,,,,,,,,,248,"23.0%",,,
"Faker","SK Telecom T1","Middle",18,"83%",,110,46,117,4.9,"66.6%","32.3%","21.7%",,,,,,,,,,300,"28.1%",,,
"Fenix","Jin Air Green Wings Falcons","Top",9,"44%",,26,37,41,1.8,"57.8%","22.4%","22.7%",,,,,,,,,,223,"21.4%",,,
"FLahm","MVP Blue","Support",4,"50%",,0,17,35,2.1,"53.8%","0.0%","23.3%",,,,,,,,,,82,"9.1%",,,
"Flame","CJ Entus Blaze","Top",12,"58%",,34,29,94,4.4,"72.3%","19.2%","16.7%",,,,,,,,,,236,"24.9%",,,
"GBM","CJ Entus Frost","Middle",11,"64%",,57,33,66,3.7,"63.4%","29.4%","23.6%",,,,,,,,,,245,"24.8%",,,
"Ggoggo","Maximum impact Gaming Blitz","ADC",6,"33%",,20,24,38,2.4,"75.3%","26.0%","18.8%",,,,,,,,,,208,"25.7%",,,
"Ggoong","NaJin White Shield","Middle",9,"33%",,29,26,48,3,"63.6%","24.0%","19.7%",,,,,,,,,,226,"27.8%",,,
"GorillA","NaJin White Shield","Support",9,"33%",,8,31,83,2.9,"75.2%","6.6%","23.5%",,,,,,,,,,78,"9.1%",,,
"Heart","MVP Blue","Jungle",4,"50%",,7,15,30,2.5,"56.9%","10.8%","20.5%",,,,,,,,,,116,"13.2%",,,
"Heart","MVP Blue","Support",2,"0%",,0,12,14,1.2,"43.8%","0.0%","25.5%",,,,,,,,,,69,"9.0%",,,
"Helios","CJ Entus Blaze","Jungle",12,"58%",,30,38,94,3.3,"70.1%","16.9%","21.8%",,,,,,,,,,124,"13.1%",,,
"Hermes","CJ Entus Blaze","ADC",3,"67%",,23,12,22,3.8,"72.6%","37.1%","24.0%",,,,,,,,,,232,"25.6%",,,
"Homme","MVP Ozone","Top",18,"67%",,54,42,142,4.7,"63.8%","17.6%","17.0%",,,,,,,,,,205,"20.9%",,,
"HooN","Jin Air Green Wings Stealths","Middle",6,"17%",,22,18,34,3.1,"71.8%","28.2%","15.3%",,,,,,,,,,238,"31.4%",,,
"imp","MVP Ozone","ADC",18,"67%",,88,38,118,5.4,"67.1%","28.7%","15.4%",,,,,,,,,,251,"25.6%",,,
"Impact","SK Telecom T1","Top",18,"83%",,63,45,153,4.8,"63.3%","18.5%","21.2%",,,,,,,,,,233,"21.8%",,,
"inSec","KT Rolster Bullets","Top",17,"65%",,54,35,154,5.9,"69.1%","17.9%","15.4%",,,,,,,,,,210,"21.5%",,,
"KaKAO","KT Rolster Bullets","Jungle",19,"63%",,51,56,183,4.2,"69.4%","15.1%","22.1%",,,,,,,,,,145,"14.3%",,,
"Kish","CJ Entus Blaze","Support",5,"40%",,2,17,40,2.5,"66.7%","3.2%","21.5%",,,,,,,,,,75,"8.3%",,,
"Kuro","Incredible Miracle 2","Middle",6,"17%",,21,16,27,3,"72.7%","31.8%","13.1%",,,,,,,,,,202,"27.4%",,,
"Lilac","Incredible Miracle 2","Jungle",6,"17%",,6,31,35,1.3,"62.1%","9.1%","25.4%",,,,,,,,,,105,"13.9%",,,
"Locodoco","NaJin White Shield","ADC",2,"0%",,8,7,13,3,"75.0%","28.6%","18.9%",,,,,,,,,,184,"23.7%",,,
"Lustboy","CJ Entus Blaze","Support",7,"71%",,7,16,86,5.8,"81.6%","6.1%","16.8%",,,,,,,,,,129,"10.9%",,,
"MadLife","CJ Entus Frost","Support",17,"59%",,22,48,178,4.2,"73.0%","8.0%","22.0%",,,,,,,,,,112,"11.3%",,,
"Mafa","KT Rolster Bullets","Support",19,"63%",,24,53,204,4.3,"67.7%","7.1%","20.9%",,,,,,,,,,117,"11.9%",,,
"ManyReason","Xenics Blast","Middle",6,"17%",,25,23,49,3.2,"73.3%","24.8%","16.3%",,,,,,,,,,221,"28.0%",,,
"Mata","MVP Ozone","Support",18,"67%",,17,53,188,3.9,"66.8%","5.5%","21.5%",,,,,,,,,,102,"10.2%",,,
"MidKing","Incredible Miracle 1","Middle",6,"17%",,6,19,19,1.3,"51.0%","12.2%","18.6%",,,,,,,,,,175,"26.0%",,,
"Mima","Chunnam Techno University","Middle",10,"40%",,38,46,77,2.5,"63.9%","21.1%","23.2%",,,,,,,,,,205,"25.1%",,,
"Miss","Incredible Miracle 2","Top",2,"0%",,10,11,4,1.3,"73.7%","52.6%","23.9%",,,,,,,,,,196,"29.9%",,,
"NoFe","NaJin White Shield","Jungle",9,"33%",,19,33,81,3,"82.6%","15.7%","25.0%",,,,,,,,,,115,"13.8%",,,
"NonameD","Chunnam Techno University","Top",10,"40%",,28,37,76,2.8,"57.8%","15.6%","18.7%",,,,,,,,,,186,"21.9%",,,
"Paragon","Incredible Miracle 1","ADC",6,"17%",,18,13,16,2.6,"69.4%","36.7%","12.7%",,,,,,,,,,196,"29.3%",,,
"PawN","Maximum impact Gaming Blitz","Middle",6,"33%",,25,32,32,1.8,"74.0%","32.5%","25.0%",,,,,,,,,,208,"24.9%",,,
"Piglet","SK Telecom T1","ADC",18,"83%",,132,30,97,7.6,"67.2%","38.7%","14.2%",,,,,,,,,,285,"27.1%",,,
"PLL","Incredible Miracle 2","Top",4,"25%",,12,14,21,2.4,"70.2%","25.5%","18.4%",,,,,,,,,,194,"24.0%",,,
"PoohManDu","SK Telecom T1","Support",18,"83%",,10,52,239,4.8,"73.0%","2.9%","24.5%",,,,,,,,,,109,"10.0%",,,
"PraY","NaJin Black Sword","ADC",6,"50%",,27,23,45,3.1,"75.8%","28.4%","24.5%",,,,,,,,,,292,"29.6%",,,
"Prime","Maximum impact Gaming Blitz","Jungle",6,"33%",,15,22,35,2.3,"64.9%","19.5%","17.2%",,,,,,,,,,125,"14.8%",,,
"Quality","Xenics Blast","Jungle",6,"17%",,21,30,44,2.2,"64.4%","20.8%","21.3%",,,,,,,,,,113,"14.2%",,,
"Raccoon","Chunnam Techno University","Jungle",10,"40%",,22,43,101,2.9,"68.3%","12.2%","21.7%",,,,,,,,,,114,"13.6%",,,
"Ragan","Xenics Storm","Top",6,"33%",,21,20,30,2.6,"57.3%","23.6%","22.2%",,,,,,,,,,189,"22.6%",,,
"RapidStar","CJ Entus Frost","Middle",6,"50%",,23,13,25,3.7,"60.0%","28.8%","16.7%",,,,,,,,,,212,"24.0%",,,
"Raven","Jin Air Green Wings Falcons","ADC",6,"33%",,16,24,28,1.8,"56.4%","20.5%","20.5%",,,,,,,,,,261,"25.8%",,,
"Raven","Jin Air Green Wings Falcons","Middle",3,"67%",,10,8,10,2.5,"52.6%","26.3%","17.4%",,,,,,,,,,233,"27.0%",,,
"Reapered","Jin Air Green Wings Falcons","Jungle",9,"44%",,24,32,44,2.1,"58.6%","20.7%","19.6%",,,,,,,,,,152,"15.8%",,,
"Reignover","Incredible Miracle 1","Jungle",6,"17%",,8,23,28,1.6,"73.5%","16.3%","22.5%",,,,,,,,,,111,"16.1%",,,
"Riris","Chunnam Techno University","ADC",10,"40%",,82,35,42,3.5,"68.9%","45.6%","17.7%",,,,,,,,,,250,"29.2%",,,
"Roar","Jin Air Green Wings Falcons","ADC",3,"67%",,12,11,17,2.6,"76.3%","31.6%","23.9%",,,,,,,,,,251,"26.0%",,,
"Roar","Jin Air Green Wings Falcons","Middle",6,"33%",,18,22,29,2.1,"60.3%","23.1%","18.8%",,,,,,,,,,272,"26.8%",,,
"Ryu","KT Rolster Bullets","Middle",19,"63%",,99,55,129,4.1,"67.7%","29.4%","21.7%",,,,,,,,,,260,"26.6%",,,
"Save","NaJin White Shield","Top",9,"33%",,27,22,58,3.9,"70.2%","22.3%","16.7%",,,,,,,,,,193,"23.5%",,,
"Scarlet","Incredible Miracle 2","ADC",6,"17%",,16,20,23,2,"59.1%","24.2%","16.4%",,,,,,,,,,193,"25.8%",,,
"Score","KT Rolster Bullets","ADC",19,"63%",,99,51,141,4.7,"71.2%","29.4%","20.2%",,,,,,,,,,251,"25.4%",,,
"Shy","CJ Entus Frost","Top",17,"59%",,46,34,116,4.8,"59.1%","16.8%","15.6%",,,,,,,,,,233,"24.5%",,,
"Sin","Jin Air Green Wings Stealths","Jungle",6,"17%",,16,25,37,2.1,"67.9%","20.5%","21.2%",,,,,,,,,,123,"15.1%",,,
"Smeb","Incredible Miracle 1","Top",6,"17%",,14,22,13,1.2,"55.1%","28.6%","21.6%",,,,,,,,,,155,"21.6%",,,
"Space","CJ Entus Frost","ADC",17,"59%",,100,39,97,5.1,"71.9%","36.5%","17.9%",,,,,,,,,,245,"25.6%",,,
"Spirit","MVP Blue","Jungle",2,"0%",,1,12,18,1.6,"59.4%","3.1%","25.5%",,,,,,,,,,85,"11.2%",,,
"Ssong","NaJin Black Sword","Middle",6,"50%",,19,20,46,3.3,"68.4%","20.0%","21.3%",,,,,,,,,,251,"23.9%",,,
"Ssumday","KT Rolster Bullets","Top",2,"50%",,10,3,17,9,"75.0%","27.8%","12.0%",,,,,,,,,,229,"22.8%",,,
"Stark","Xenics Blast","Top",6,"17%",,13,34,44,1.7,"56.4%","12.9%","24.1%",,,,,,,,,,142,"17.4%",,,
